label	time	memory	pvalue	zcore
GI2.all.exon	277.74	167160.0	1.0	-9.918824368855901
OMIM.all.exon	286.43	169228.0	0.9999998854490291	-4.830634479800121
HI1.all.exon	360.16	181220.0	1.0	-11.710515541245227
Prot-cod.all.exon	5400.63	484596.0	0.9999999996930647	-5.941287962921422
All-genes.all.exon	5914.47	498048.0	0.9968230938595528	-2.685470192854906
Decipher-gain.all.exon	3.71	82160.0	0.9884639081150802	-1.5075366361926548
GI3.all.exon	984.0	240308.0	0.9971974278470426	-2.7106010478950378
HI2.all.exon	308.28	170272.0	1.0	-7.881561517735582
HPO-rec.all.exon	50.26	113620.0	0.9999980309369457	-4.247071650990651
CGD-rec.all.exon	64.44	118580.0	0.9999999997391958	-5.565232366374998
Essential.all.exon	252.66	161544.0	1.0	-8.330987221783063
HPO-dom.all.exon	35.99	106364.0	0.6326531725068153	-0.35317151908972794
Cancer-loss.all.exon	13.64	95088.0	0.9841788655102088	-2.0368372735568983
embryonic-lethal.all.exon	12.79	91948.0	0.9999993246744534	-3.961312150875786
HI3.all.exon	1210.78	261088.0	0.9876603398056171	-2.2083340836819083
GI1.all.exon	561.88	208000.0	1.0	-11.633602605048644
Paralogs.all.exon	6.74	85804.0	5.414584047493001e-69	26.077168014559494
phen.all.exon	1511.61	292668.0	1.0	-8.23445870336657
Cancer-gain.all.exon	2.94	81228.0	0.9969005466486238	-1.518684226072854
Decipher-loss.all.exon	2.38	82716.0	0.9902526551410628	-1.914122623847156
ISCA-gain.all.exon	3.77	82352.0	0.004365660512039425	3.191837704026298
CGD-dom.all.exon	25.16	102808.0	0.9993942021816641	-2.967280599181789
No-phen.all.exon	1384.84	273888.0	0.32634022049440314	0.4458945516084412
Curated-gain.all.exon	5.11	87112.0	0.0034616866666897007	2.9729826141086315
Curated-loss.all.exon	28.82	103496.0	0.4546408499741475	0.09494704534227885
ISCA-loss.all.exon	9.79	89192.0	0.9970297494240808	-2.454644867501159
Non-cod.all.exon	17.01	97272.0	3.835579736693017e-48	19.03593352353017
