label	time	memory	pvalue	zcore
GI2.all.exon	83.86	1031760.0	1.0	-9.873907920898686
OMIM.all.exon	83.34	1032124.0	0.9999999999979128	-6.9311455654426215
HI1.all.exon	89.09	1033164.0	1.0	-11.506463960695852
Prot-cod.all.exon	238.22	1064836.0	0.9999999999999999	-8.275378185547247
All-genes.all.exon	246.03	1066224.0	0.9999999281954467	-5.260570527344458
Decipher-gain.all.exon	13.88	1022056.0	0.8787399371854289	-1.168710908032567
GI3.all.exon	129.62	1039920.0	0.999396553372657	-3.237245998154433
HI2.all.exon	90.54	1032268.0	1.0	-9.01294000985606
HPO-rec.all.exon	53.69	1026396.0	0.9999999139995734	-5.227302624027693
CGD-rec.all.exon	60.63	1026700.0	0.99999999977355	-6.234611723781143
Essential.all.exon	79.9	1031232.0	1.0	-9.265116258771059
HPO-dom.all.exon	53.15	1025164.0	0.9989291934771044	-3.069856971689527
Cancer-loss.all.exon	44.97	1024256.0	0.9995366649124239	-3.3118928909011003
embryonic-lethal.all.exon	42.4	1023232.0	0.9999966778587618	-4.50477653126818
HI3.all.exon	137.42	1042272.0	0.999903646458096	-3.7283898786094265
GI1.all.exon	101.79	1036328.0	1.0	-12.540125859041636
Paralogs.all.exon	39.42	1022704.0	6.790937933436273e-76	18.398193077130504
phen.all.exon	144.02	1044912.0	1.0	-11.549460651054725
Cancer-gain.all.exon	17.29	1022396.0	0.9244965813126734	-1.4359841995132632
Decipher-loss.all.exon	21.95	1022664.0	0.9891121570754131	-2.294257959625497
ISCA-gain.all.exon	23.16	1022676.0	0.3228629963171302	0.4597077685818684
CGD-dom.all.exon	52.42	1025088.0	0.9999842054649442	-4.161697445387662
No-phen.all.exon	142.83	1043100.0	0.6836627534904339	-0.4779658758005153
Curated-gain.all.exon	36.97	1023088.0	0.13478240796231844	1.10406529176949
Curated-loss.all.exon	53.04	1025136.0	0.9569461384424728	-1.7162968579601212
ISCA-loss.all.exon	41.86	1023412.0	0.9912792643065224	-2.3772667194534174
Non-cod.all.exon	48.47	1024664.0	7.617902934917235e-39	12.983210311743779
