label	time	memory	pvalue	zscore	mean	sd
100_1	1.94	80908.0	0.09354550082882762	1.3192336804168228	10.001699948978043	3.0307746916821134
100_2	1.52	80608.0	0.5002249247254275	-0.0005638027062896118	10.001699948980068	3.0151486701000865
100_3	1.67	81172.0	0.7460037616689205	-0.661966835062565	10.001699948979764	3.02386742500563
100_4	2.08	81012.0	0.6304879099604106	-0.3331458643561655	10.001699948977361	3.006790886968496
100_5	1.38	80704.0	0.7468430180038945	-0.6645881291121587	10.0016999489785	3.011940570850439
100_6	1.69	80908.0	0.37149361547971776	0.32790005657034166	10.001699948978402	3.0445254004018185
100_7	1.79	80872.0	0.6296743558350975	-0.3309909939066673	10.001699948981122	3.0263661773938817
100_8	1.17	80856.0	0.5002231597936944	-0.0005593786778072575	10.00169994897745	3.0389949508137506
100_9	1.83	81016.0	0.8398425288130551	-0.9938108920537033	10.001699948976658	3.0203934903285923
100_10	1.66	81076.0	0.5002258487817587	-0.0005661189723865566	10.001699948978372	3.0028122378675906
200_1	2.1	80764.0	0.1284826241781431	1.133593148457319	20.003399897955383	4.407754324242676
200_2	1.52	81352.0	0.24298944169502185	0.6967186524712318	20.003399897956665	4.3010189140401485
200_3	1.27	81132.0	0.32273625526158467	0.4600608968685727	20.003399897953056	4.339860474204397
200_4	1.49	81144.0	0.592983001170862	-0.23522513586713115	20.003399897956395	4.26570015256862
200_5	1.44	80756.0	0.322954097454566	0.45945397630768653	20.00339989795398	4.345593258526816
200_6	2.29	80964.0	0.9472700336436576	-1.618941118352752	20.00339989795437	4.325913906665255
200_7	1.94	81200.0	0.5003141055080627	-0.0007873458290749376	20.003399897955493	4.318176117712055
200_8	2.3	81020.0	0.8228604877457679	-0.9263213101603063	20.00339989795995	4.321826405210449
200_9	2.27	81144.0	0.5921958439067624	-0.23319715854619594	20.003399897956285	4.3027964157527
200_10	2.13	80760.0	0.5003169869675154	-0.0007945685790704592	20.0033998979546	4.278923234769388
500_1	1.66	81032.0	0.5571791374505036	-0.14382111976196715	50.00849974488847	7.012181149455628
500_2	1.81	81276.0	0.23715555750723516	0.7154822337822251	50.048498194865296	6.920509792339323
500_3	2.15	80880.0	0.5004839542798302	-0.0012130937789815819	50.00849974489021	7.006667610930544
500_4	1.43	80692.0	0.9017927047789305	-1.2918341375236002	50.00849974489212	6.973418245596985
500_5	1.47	81048.0	0.7186799317985588	-0.5789244726872846	50.00849974489047	6.924046113102781
500_6	1.79	80996.0	0.44326097455457186	0.14270654291981344	50.008499744894785	6.947826181048624
500_7	1.56	80780.0	0.8055384631173697	-0.861572019638638	50.00849974489547	6.973879847462501
500_8	1.55	80884.0	0.3342342616726287	0.4282508158020956	50.00849974489054	6.985393009716749
500_9	2.09	81276.0	0.06067780965712138	1.5491085857774467	50.008499744887224	7.095371077293786
500_10	2.62	81204.0	0.5004861467580641	-0.0012185895109765406	50.00849974489085	6.975068154030498
1000_1	2.12	81636.0	0.6531645331387027	-0.39387824364081614	100.01699948977942	10.198581807028138
1000_2	1.7	81196.0	0.5006593225847178	-0.0016526773852942114	100.01699948978656	10.286030375809995
1000_3	1.59	81344.0	0.6160509965332486	-0.29512550485013767	100.01699948978522	10.222767738482062
1000_4	1.77	81528.0	0.1633505748219597	0.9807801892853855	100.01699948978741	10.17863188844219
1000_5	1.39	81424.0	0.3843139040432192	0.2941702557179692	100.01699948978602	10.140387929206163
1000_6	1.61	81140.0	0.9929666672438279	-2.4555564573942132	100.01699948977998	10.187914602593787
1000_7	1.98	81316.0	0.2814083269204424	0.5786629000306378	100.01699948977925	10.33935389655008
1000_8	1.45	81380.0	0.46133868150462537	0.09706174176444395	100.01699948977789	10.127579542181813
1000_9	1.6	81168.0	0.4615187439966352	0.09660827090095855	100.01699948978208	10.175117524105994
1000_10	2.06	81020.0	0.3133520714076276	0.48637100720801374	100.016999489785	10.245266342703388
2000_1	1.65	81900.0	0.1822276078062715	0.9069084437184712	200.03399897957544	15.399571056105403
2000_2	1.9	82248.0	0.4750813279851492	0.06250251902744483	200.0339989795706	15.455393405907632
2000_3	1.88	81892.0	0.8515818053628436	-1.043241647158932	200.03399897956416	15.369400774240235
2000_4	1.7	81992.0	0.955320153678268	-1.6987850438324112	200.19399277948057	15.419250878491171
2000_5	2.88	82092.0	0.7194776815425159	-0.5812905672226774	200.03399897956788	15.541279162211458
2000_6	2.22	81864.0	0.21918071995464478	0.7749631411225935	200.03399897956118	15.44073567564151
2000_7	2.57	82016.0	0.3982020027545935	0.2580037598381828	200.03399897956544	15.371872963874653
2000_8	2.56	82212.0	0.8180717834515236	-0.9080412407582733	200.03399897956518	15.45524404579453
2000_9	2.36	81844.0	0.059510087678436116	1.5588994719115865	200.03399897956078	15.373666777275329
2000_10	2.56	81904.0	0.15030531309189843	1.0351248126040418	200.03399897955777	15.42422790569275
5000_1	2.86	83852.0	0.32532798295155324	0.45285109838167925	500.0849974489261	28.519313737401244
